,Category,Merchants Name
0,Food & Beverages,Warung Leko Gandaria City
0,Food & Beverages,Bakmi Gocit
0,Food & Beverages,Kafe Betawi
0,Food & Beverages,Solaria
0,Food & Beverages,Negiya
0,Food & Beverages,Noble Thai
0,Food & Beverages,KFC
0,Food & Beverages,Pepper Lunch Resto ( Boga Group )
0,Food & Beverages,Lapis Malang
0,Food & Beverages,Rumah Air
0,Food & Beverages,Deresto Coffee & Kitchen
0,Food & Beverages,Ta Huang Restaurant
0,Food & Beverages,Cubeef
0,Food & Beverages,Maqui's
0,Food & Beverages,Gendhis Legi
0,Food & Beverages,Ayam Tulang Lunak Hayam Wuruk
0,Food & Beverages,Chief Coffee & Roaster
0,Food & Beverages,My Kopi O
0,Food & Beverages,GiggleBox
0,Food & Beverages,Bakoel Desa
0,Food & Beverages,Sophie Authentique
0,Food & Beverages,Marrakech Restaurant
0,Food & Beverages,Tom Tom
0,Food & Beverages,Happy Lemon
0,Food & Beverages,Cafe Halaman
0,Food & Beverages,Korean House
0,Food & Beverages,Resto Warung Papatong
0,Food & Beverages,Street Food Festival Mall Artha Gading
0,Food & Beverages,Bangi Kopi Mall Artha Gading
0,Food & Beverages,Bangi Cafe
0,Food & Beverages,NexThai
0,Food & Beverages,Bonello
0,Food & Beverages,Ngopi Doeloe
0,Food & Beverages,Hakuna Matata
0,Food & Beverages,Holy Smokes
0,Food & Beverages,Malang Strudel
0,Food & Beverages,Java Ramen Bar
0,Food & Beverages,Takon The Story Of Sushi
0,Food & Beverages,Tako n Sushi Box
0,Food & Beverages,Ramen n Sushi Box
0,Food & Beverages,Aprilasta Bakery & Coffee
0,Food & Beverages,Doea Tjangkir
0,Food & Beverages,Surabaya Patata
0,Food & Beverages,Oval Bar & Lounge
0,Food & Beverages,Foresta Coffee
0,Food & Beverages,Torigen Teppanyaki Bar
0,Food & Beverages,Torigen Izakaya
0,Food & Beverages,Pamor
0,Food & Beverages,Pino Terrace
0,Food & Beverages,Porto Bistreau
0,Food & Beverages,Nara Park
0,Food & Beverages,Foresthree Kitchen
0,Food & Beverages,J Steak
0,Food & Beverages,Roof Park
0,Food & Beverages,Stumpy Coffee
0,Food & Beverages,Imperial Cakery
0,Food & Beverages,Imperial Kitchen & Dimsum
0,Food & Beverages,Penyetan Cok
0,Food & Beverages,Suteki
0,Food & Beverages,Bebek Semangat
0,Food & Beverages,Thai Haus
0,Food & Beverages,Bavarian Haus
0,Food & Beverages,Yakiniku Like (Boga Group)
0,Food & Beverages,Kedai Kopi Tenong
0,Food & Beverages,Prince House
0,Food & Beverages,aRoma Gelato
0,Food & Beverages,Saint Cinnamon & Coffee
0,Food & Beverages,Takarajima
0,Food & Beverages,Raffel's Sandwich
0,Food & Beverages,10 Ten (Boga Group)
0,Food & Beverages,Taco Beach Grill
0,Food & Beverages,Exquise Patisserie
0,Food & Beverages,Eggtacular
0,Food & Beverages,Lapis Van Java
0,Food & Beverages,Bandung Kunafe
0,Food & Beverages,Cream Fiction
0,Food & Beverages,The Yumz
0,Food & Beverages,Imperial Tables
0,Food & Beverages,Lamian Palace
0,Food & Beverages,Happy Day
0,Food & Beverages,Kopi Pujaan
0,Food & Beverages,PnC Single Region Coffee
0,Food & Beverages,School Food Bloomingmari
0,Food & Beverages,Jambo Kupi
0,Food & Beverages,The Grand Nihao
0,Food & Beverages,Lumbung Padi
0,Food & Beverages,Delifrance
0,Food & Beverages,Ziato Artisan Gelato
0,Food & Beverages,Korbeq Restaurant
0,Food & Beverages,Cafe MKK
0,Food & Beverages,Stevan Meat Shop Restaurant
0,Food & Beverages,Torico
0,Food & Beverages,Hokkaido Baked Cheese Tart
0,Food & Beverages,Secret Recipe
0,Food & Beverages,Gaya Gelato
0,Food & Beverages,Gula Merah
0,Food & Beverages,Darin Master of Noodle
0,Food & Beverages,Life Juice
0,Food & Beverages,Sapo Oriental
0,Food & Beverages,SaladStop!
0,Food & Beverages,CFC
0,Food & Beverages,Devon Cafe
0,Food & Beverages,Sukadeli
0,Food & Beverages,Culture Royale Catering
0,Food & Beverages,Vava Cake
0,Food & Beverages,Bakery Ciputra
0,Food & Beverages,Shabu Ghin
0,Food & Beverages,Pig Me up
0,Food & Beverages,Cuppa Coffee Inc
0,Food & Beverages,Rice Bowl
0,Food & Beverages,Ce Wei
0,Food & Beverages,Senandung Alam
0,Food & Beverages,Walao Eh
0,Food & Beverages,Mister Baso
0,Food & Beverages,BASO By Mister Baso
0,Food & Beverages,Joy Luck Pot
0,Food & Beverages,Igakoe
0,Food & Beverages,Imperial Chef
0,Food & Beverages,The Duck King Group
0,Food & Beverages,Fanda’s Favourite  Restaurant
0,Food & Beverages,Pizza Maru
0,Food & Beverages,Ippudo Ramen
0,Food & Beverages,Restaurant Rantang Ibu
0,Food & Beverages,Tetsin Mochi Mochio
0,Food & Beverages,Sa Le Restaurant
0,Food & Beverages,Tiga Wonton
0,Food & Beverages,Dago Restaurant
0,Food & Beverages,Pish & Posh
0,Food & Beverages,Almondtree
0,Food & Beverages,The Harvest
0,Food & Beverages,Kamu Tea
0,Food & Beverages,Nanny's Pavillon
0,Food & Beverages,Gokana
0,Food & Beverages,Raa Cha Suki & BBQ
0,Food & Beverages,Baso Malang Karapitan ( BMK )
0,Food & Beverages,Shaburi & Kintan Buffet ( Boga Group )
0,Food & Beverages,Platinum Resto Cafe
0,Food & Beverages,Chopstix
0,Food & Beverages,Kopilatinum
0,Food & Beverages,Batavia Cafe
0,Food & Beverages,Menya Musashi
0,Food & Beverages,Lavore
0,Food & Beverages,Kimukatsu
0,Food & Beverages,Sukiya
0,Food & Beverages,Blue Jasmine
0,Food & Beverages,Putu Made ( Boga Group )
0,Food & Beverages,Bumbu Rasa
0,Food & Beverages,Bebek Bengil Express
0,Food & Beverages,Pho24
0,Food & Beverages,Seorae
0,Food & Beverages,Uchino Shokudo
0,Food & Beverages,Kushiya Monogatari
0,Food & Beverages,Penang Bistro
0,Food & Beverages,Miyagi
0,Food & Beverages,Seribu Rasa
0,Food & Beverages,Maison Tatsuya
0,Food & Beverages,Hong Kong Cafe
0,Food & Beverages,Greyhound Cafe
0,Food & Beverages,Amypond Cafe
0,Food & Beverages,Canteen Jakarta Intercultural School ( JIS )
0,Food & Beverages,Sangrai Pelopor Puyuh
0,Food & Beverages,Shaburi ( Boga Group )
0,Food & Beverages,Sushi Bar
0,Food & Beverages,Saboga
0,Food & Beverages,Teppanraw
0,Food & Beverages,Sukigao
0,Food & Beverages,Berkat
0,Food & Beverages,Warung Koffie Batavia
0,Food & Beverages,Coffee Club
0,Food & Beverages,Bing Go
0,Food & Beverages,Onokabe ( Boga Group )
0,Food & Beverages,Kintan Buffet ( Boga Group )
0,Food & Beverages,Bale Nyoenya
0,Food & Beverages,Johnny Rockets
0,Food & Beverages,Mama Malaka
0,Food & Beverages,Omah Rasa
0,Food & Beverages,The Taste
0,Food & Beverages,Sour Sally
0,Food & Beverages,Street Food Festival
0,Food & Beverages,Gong Cha
0,Food & Beverages,Billiechick
0,Food & Beverages,Bebek Bengil
0,Food & Beverages,Wee Nam Kee
0,Food & Beverages,Bangi Kopi
0,Food & Beverages,Dermaga Makassar Seafood
0,Food & Beverages,Deli Patissiere
0,Food & Beverages,Gong Kitchen
0,Food & Beverages,Eat Boss
0,Food & Beverages,Founder Bak Kut Teh
0,Food & Beverages,Kobeshi by Shabu2House
0,Food & Beverages,Shabu Shabu House
0,Food & Beverages,Superbowl
0,Food & Beverages,Wok Hei
0,Food & Beverages,Foek Lam
0,Food & Beverages,Jun Njan
0,Food & Beverages,Quantum Bistro
0,Food & Beverages,Ikan Bali Jimbaran
0,Food & Beverages,Bon Creperie
0,Food & Beverages,Old Town White Coffee
0,Food & Beverages,HOMEY at SIXTEENTH
0,Food & Beverages,SARIMANDE METROPOLITAN
0,Food & Beverages,Bakmi Naga
0,Food & Beverages,It's my cake
0,Food & Beverages,Java Village
0,Food & Beverages,Java Toast
0,Food & Beverages,Zhuma - Japanese Bistro
0,Food & Beverages,Java Kitchen
0,Food & Beverages,Oh La La Cafe
0,Food & Beverages,Mango Tree  Bistro
0,Food & Beverages,Over Rice Restaurant
0,Food & Beverages,Kambing Bakar Cairo
0,Food & Beverages,Han Gang Korean Restaurant
0,Food & Beverages,Grandma's Thai
0,Food & Beverages,Grandma's Suki
0,Food & Beverages,Foodcourt Eatery
0,Food & Beverages,Foodcourt Food Avenue
0,Food & Beverages,XO Suki Restaurant
0,Food & Beverages,White Hunter
0,Food & Beverages,Domino Cake Bakery
0,Food & Beverages,Planet Popcorn
0,Food & Beverages,DConsulate
0,Food & Beverages,Paradise Dynasty ( Boga Group )
0,Food & Beverages,Paradise Inn ( Boga Group )
0,Food & Beverages,One Eight Resto
0,Food & Beverages,Mama Cita The Wine Kitchen
0,Food & Beverages,Locanda Food Voyager
0,Food & Beverages,Café De France
0,Food & Beverages,Pepper Lunch Express ( Boga Group )
0,Food & Beverages,Bakerzin ( Boga Group )
0,Food & Beverages,Meat Me Steakhouse & Butchery
0,Food & Beverages,Master Wok ( Boga Group )
0,Food & Beverages,Kyochon Indonesia
0,Food & Beverages,Jeans Chili Chicken
0,Food & Beverages,Urban Bistro
0,Food & Beverages,Golden Lamian
0,Food & Beverages,The Holy Crab
0,Food & Beverages,The Straits Canteen
0,Food & Beverages,Bebek Dower
0,Food & Beverages,Shabu Shabu Express
0,Food & Beverages,Sunny Side Up
0,Food & Beverages,Ssikkek Korean BBQ Buffet
0,Food & Beverages,Sere Manis Restaurant
0,Food & Beverages,Shabu Tei Restaurant
0,Food & Beverages,Rych Menu
0,Food & Beverages,Five Monkey
0,Food & Beverages,Burger King
0,Food & Beverages,Dominos Pizza
0,Food & Beverages,Flaming Pots
0,Food & Beverages,Sierra Cafe & Lounge
0,Food & Beverages,Soup Restaurant
0,Food & Beverages,Riung Gili Gili
0,Food & Beverages,Saint Cinnamon (Bakery Cafe)
0,Food & Beverages,Sambara
0,Food & Beverages,Poke Sushi
0,Food & Beverages,Pure Foodism Restaurant
0,Food & Beverages,Melrimba Garden
0,Food & Beverages,Nan Xiang
0,Food & Beverages,Kembang Lawang
0,Food & Beverages,Kalimilk ( Restaurant )
0,Food & Beverages,Hanei
0,Food & Beverages,Ichiban Crepes
0,Food & Beverages,Coca Suki
0,Food & Beverages,Gelato Bar (Restaurant)
0,Food & Beverages,Glosis European Food
0,Food & Beverages,Hanei Sushi
0,Food & Beverages,Citrus Taste - Sangria
1,Supermarket,Seroyamart.com
1,Supermarket,Carrefour
1,Supermarket,Alfamart
1,Supermarket,Alfamidi
1,Supermarket,Papaya Fresh Gallery
1,Supermarket,Lawson
1,Supermarket,TIP TOP Swalayan
2,Education,Gramedia
2,Education,Lembaga Kursus dan Pelatihan LEVI
3,Dept. Store and Fashion,Raja FO
3,Dept. Store and Fashion,Witness
3,Dept. Store and Fashion,Gaudi
3,Dept. Store and Fashion,Hava
3,Dept. Store and Fashion,Amante
3,Dept. Store and Fashion,Brodo
3,Dept. Store and Fashion,Fiori
3,Dept. Store and Fashion,ARL
3,Dept. Store and Fashion,Hardware
3,Dept. Store and Fashion,Pierre Cardin
3,Dept. Store and Fashion,Nicole Lee
3,Dept. Store and Fashion,Byford
3,Dept. Store and Fashion,Belt Junction
3,Dept. Store and Fashion,Red Wine Shoes and Bags
3,Dept. Store and Fashion,Inibayiku.com
